,id,ticker,lastUpdated
0,0,A,2021-04-16
1,1,AA,2021-04-16
2,2,AAC,2021-04-16
3,3,AAIC,2021-04-16
4,4,AAIC^B,2021-04-16
5,5,AAIC^C,2021-04-16
6,6,AAN,2021-04-16
7,7,AAP,2021-04-16
8,8,AAT,2021-04-16
9,9,AB,2021-04-16
10,10,ABB,2021-04-16
11,11,ABBV,2021-04-16
12,12,ABC,2021-04-16
13,13,ABEV,2021-04-16
14,14,ABG,2021-04-16
15,15,ABM,2021-04-16
16,16,ABR,2021-04-16
17,17,ABR^A,2021-04-16
18,18,ABR^B,2021-04-16
19,19,ABR^C,2021-04-16
20,20,ABT,2021-04-16
21,21,AC,2021-04-16
22,22,ACA,2021-04-16
23,23,ACB,2021-04-16
24,24,ACC,2021-04-16
25,25,ACCO,2021-04-16
26,26,ACEL,2021-04-16
27,27,ACH,2021-04-16
28,28,ACI,2021-04-16
29,29,ACIC,2021-04-16
30,30,ACII,2021-04-16
31,31,ACM,2021-04-16
32,32,ACN,2021-04-16
33,33,ACND,2021-04-16
34,34,ACP,2021-04-16
35,35,ACR,2021-04-16
36,36,ACR^C,2021-04-16
37,37,ACRE,2021-04-16
38,38,ACV,2021-04-16
39,39,ADC,2021-04-16
40,40,ADCT,2021-04-16
41,41,ADEX,2021-04-16
42,42,ADM,2021-04-16
43,43,ADNT,2021-04-16
44,44,ADS,2021-04-16
45,45,ADT,2021-04-16
46,46,ADX,2021-04-16
47,47,AEB,2021-04-16
48,48,AEE,2021-04-16
49,49,AEFC,2021-04-16
50,50,AEG,2021-04-16
51,51,AEL,2021-04-16
52,52,AEL^A,2021-04-16
53,53,AEL^B,2021-04-16
54,54,AEM,2021-04-16
55,55,AENZ,2021-04-16
56,56,AEO,2021-04-16
57,57,AER,2021-04-16
58,58,AES,2021-04-16
59,59,AESC,2021-04-16
60,60,AEVA,2021-04-16
61,61,AFB,2021-04-16
62,62,AFG,2021-04-16
63,63,AFGB,2021-04-16
64,64,AFGC,2021-04-16
65,65,AFGD,2021-04-16
66,66,AFGE,2021-04-16
67,67,AFI,2021-04-16
68,68,AFL,2021-04-16
69,69,AFT,2021-04-16
70,70,AG,2021-04-16
71,71,AGAC,2021-04-16
72,72,AGCB,2021-04-16
73,73,AGCO,2021-04-16
74,74,AGD,2021-04-16
75,75,AGI,2021-04-16
76,76,AGL,2021-04-16
77,77,AGM,2021-04-16
78,78,AGM^C,2021-04-16
79,79,AGM^D,2021-04-16
80,80,AGM^E,2021-04-16
81,81,AGM^F,2021-04-16
82,82,AGO,2021-04-16
83,83,AGO^B,2021-04-16
84,84,AGO^E,2021-04-16
85,85,AGO^F,2021-04-16
86,86,AGR,2021-04-16
87,87,AGRO,2021-04-16
88,88,AGS,2021-04-16
89,89,AGX,2021-04-16
90,90,AHC,2021-04-16
91,91,AHH,2021-04-16
92,92,AHH^A,2021-04-16
93,93,AHL^C,2021-04-16
94,94,AHL^D,2021-04-16
95,95,AHL^E,2021-04-16
96,96,AHT,2021-04-16
97,97,AHT^D,2021-04-16
98,98,AHT^F,2021-04-16
99,99,AHT^G,2021-04-16
100,100,AHT^H,2021-04-16
101,101,AHT^I,2021-04-16
102,102,AI,2021-04-16
103,103,AIC,2021-04-16
104,104,AIF,2021-04-16
105,105,AIG,2021-04-16
106,106,AIG^A,2021-04-16
107,107,AIN,2021-04-16
108,108,AIO,2021-04-16
109,109,AIR,2021-04-16
110,110,AIRC,2021-04-16
111,111,AIT,2021-04-16
112,112,AIV,2021-04-16
113,113,AIW,2021-04-16
114,114,AIZ,2021-04-16
115,115,AIZN,2021-04-16
116,116,AJAX,2021-04-16
117,117,AJG,2021-04-16
118,118,AJRD,2021-04-16
119,119,AJX,2021-04-16
120,120,AJXA,2021-04-16
121,121,AKO/A,2021-04-16
122,122,AKO/B,2021-04-16
123,123,AKR,2021-04-16
124,124,AL,2021-04-16
125,125,AL^A,2021-04-16
126,126,ALB,2021-04-16
127,127,ALC,2021-04-16
128,128,ALE,2021-04-16
129,129,ALEX,2021-04-16
130,130,ALG,2021-04-16
131,131,ALIN^A,2021-04-16
132,132,ALIN^B,2021-04-16
133,133,ALIN^E,2021-04-16
134,134,ALK,2021-04-16
135,135,ALL,2021-04-16
136,136,ALL^B,2021-04-16
137,137,ALL^G,2021-04-16
138,138,ALL^H,2021-04-16
139,139,ALL^I,2021-04-16
140,140,ALLE,2021-04-16
141,141,ALLY,2021-04-16
142,142,ALLY^A,2021-04-16
143,143,ALP^Q,2021-04-16
144,144,ALSN,2021-04-16
145,145,ALTG,2021-04-16
146,146,ALTG^A,2021-04-16
147,147,ALUS,2021-04-16
148,148,ALV,2021-04-16
149,149,ALX,2021-04-16
150,150,AM,2021-04-16
151,151,AMBC,2021-04-16
152,152,AMC,2021-04-16
153,153,AMCR,2021-04-16
154,154,AME,2021-04-16
155,155,AMG,2021-04-16
156,156,AMH,2021-04-16
157,157,AMH^D,2021-04-16
158,158,AMH^E,2021-04-16
159,159,AMH^F,2021-04-16
160,160,AMH^G,2021-04-16
161,161,AMH^H,2021-04-16
162,162,AMK,2021-04-16
163,163,AMN,2021-04-16
164,164,AMOV,2021-04-16
165,165,AMP,2021-04-16
166,166,AMPY,2021-04-16
167,167,AMR,2021-04-16
168,168,AMRC,2021-04-16
169,169,AMRX,2021-04-16
170,170,AMT,2021-04-16
171,171,AMWL,2021-04-16
172,172,AMX,2021-04-16
173,173,AN,2021-04-16
174,174,ANET,2021-04-16
175,175,ANF,2021-04-16
176,176,ANTM,2021-04-16
177,177,AOD,2021-04-16
178,178,AON,2021-04-16
179,179,AONE,2021-04-16
180,180,AOS,2021-04-16
181,181,AP,2021-04-16
182,182,APAM,2021-04-16
183,183,APD,2021-04-16
184,184,APG,2021-04-16
185,185,APGB,2021-04-16
186,186,APH,2021-04-16
187,187,APLE,2021-04-16
188,188,APO,2021-04-16
189,189,APO^A,2021-04-16
190,190,APO^B,2021-04-16
191,191,APRN,2021-04-16
192,192,APSG,2021-04-16
193,193,APTS,2021-04-16
194,194,APTV,2021-04-16
195,195,APTV^A,2021-04-16
196,196,AQN,2021-04-16
197,197,AQNA,2021-04-16
198,198,AQNB,2021-04-16
199,199,AQUA,2021-04-16
200,200,AR,2021-04-16
201,201,ARC,2021-04-16
202,202,ARCH,2021-04-16
203,203,ARCO,2021-04-16
204,204,ARD,2021-04-16
205,205,ARDC,2021-04-16
206,206,ARE,2021-04-16
207,207,ARES,2021-04-16
208,208,ARES^A,2021-04-16
209,209,ARGD,2021-04-16
210,210,ARGO,2021-04-16
211,211,ARGO^A,2021-04-16
212,212,ARI,2021-04-16
213,213,ARL,2021-04-16
214,214,ARLO,2021-04-16
215,215,ARMK,2021-04-16
216,216,ARNC,2021-04-16
217,217,AROC,2021-04-16
218,218,ARR,2021-04-16
219,219,ARR^C,2021-04-16
220,220,ARW,2021-04-16
221,221,ASA,2021-04-16
222,222,ASAI,2021-04-16
223,223,ASAN,2021-04-16
224,224,ASAQ,2021-04-16
225,225,ASB,2021-04-16
226,226,ASB^C,2021-04-16
227,227,ASB^D,2021-04-16
228,228,ASB^E,2021-04-16
229,229,ASB^F,2021-04-16
230,230,ASC,2021-04-16
231,231,ASG,2021-04-16
232,232,ASGI,2021-04-16
233,233,ASGN,2021-04-16
234,234,ASH,2021-04-16
235,235,ASIX,2021-04-16
236,236,ASPL,2021-04-16
237,237,ASPN,2021-04-16
238,238,ASR,2021-04-16
239,239,ASX,2021-04-16
240,240,AT,2021-04-16
241,241,ATA,2021-04-16
242,242,ATAC,2021-04-16
243,243,ATC,2021-04-16
244,244,ATCO,2021-04-16
245,245,ATCO^D,2021-04-16
246,246,ATCO^E,2021-04-16
247,247,ATCO^G,2021-04-16
248,248,ATCO^H,2021-04-16
249,249,ATCO^I,2021-04-16
250,250,ATEN,2021-04-16
251,251,ATGE,2021-04-16
252,252,ATH,2021-04-16
253,253,ATH^A,2021-04-16
254,254,ATH^B,2021-04-16
255,255,ATH^C,2021-04-16
256,256,ATH^D,2021-04-16
257,257,ATHM,2021-04-16
258,258,ATI,2021-04-16
259,259,ATKR,2021-04-16
260,260,ATMR,2021-04-16
261,261,ATO,2021-04-16
262,262,ATR,2021-04-16
263,263,ATTO,2021-04-16
264,264,ATUS,2021-04-16
265,265,AU,2021-04-16
266,266,AUD,2021-04-16
267,267,AUY,2021-04-16
268,268,AVA,2021-04-16
269,269,AVAL,2021-04-16
270,270,AVAN,2021-04-16
271,271,AVB,2021-04-16
272,272,AVD,2021-04-16
273,273,AVK,2021-04-16
274,274,AVLR,2021-04-16
275,275,AVNS,2021-04-16
276,276,AVNT,2021-04-16
277,277,AVTR,2021-04-16
278,278,AVTR^A,2021-04-16
279,279,AVY,2021-04-16
280,280,AVYA,2021-04-16
281,281,AWF,2021-04-16
282,282,AWI,2021-04-16
283,283,AWK,2021-04-16
284,284,AWP,2021-04-16
285,285,AWR,2021-04-16
286,286,AX,2021-04-16
287,287,AXL,2021-04-16
