zip,08933
sector,Healthcare
fullTimeEmployees,134500
longBusinessSummary,Johnson & Johnson researches and develops, manufactures, and sells a range of products in the health care field worldwide. It operates through three segments: Consumer Health, Pharmaceutical, and Medical Devices. The Consumer Health segment offers baby care products under the JOHNSON'S and AVEENO Baby brands; oral care products under the LISTERINE brand; skin health/beauty products under the AVEENO, CLEAN & CLEAR, DR. CI:LABO, NEUTROGENA, and OGX brands; acetaminophen products under the TYLENOL brand; cold, flu, and allergy products under the SUDAFED brand; allergy products under the BENADRYL and ZYRTEC brands; ibuprofen products under the MOTRIN IB brand; smoking cessation products under the NICORETTE brand; and acid reflux products under the PEPCID brand. This segment also provides women's health products, such as sanitary pads and tampons under the STAYFREE, CAREFREE, and o.b. brands; wound care products comprising adhesive bandages under the BAND-AID brand; and first aid products under the NEOSPORIN brand. The Pharmaceutical segment offers products in various therapeutic areas, including immunology, infectious diseases, neuroscience, oncology, pulmonary hypertension, and cardiovascular and metabolic diseases. The Medical Devices segment provides electrophysiology products to treat cardiovascular diseases and neurovascular care products to treat hemorrhagic and ischemic stroke; orthopaedics products in support of hips, knees, trauma, spine, sports, and other; advanced and general surgery solutions that focus on breast aesthetics, ear, nose, and throat procedures; and disposable contact lenses and ophthalmic products related to cataract and laser refractive surgery under the ACUVUE brand. The company markets its products to general public, and retail outlets and distributors, as well as distributes directly to wholesalers, hospitals, and health care professionals for prescription use. Johnson & Johnson was founded in 1886 and is based in New Brunswick, New Jersey.
city,New Brunswick
phone,732 524 0400
state,NJ
country,United States
companyOfficers,[]
website,http://www.jnj.com
maxAge,1
address1,One Johnson & Johnson Plaza
industry,Drug Manufacturers—General
previousClose,166.04
regularMarketOpen,165.02
twoHundredDayAverage,153.63713
trailingAnnualDividendYield,0.023970129
payoutRatio,0.72230005
volume24Hr,None
regularMarketDayHigh,165.66
navPrice,None
averageDailyVolume10Day,7252200
totalAssets,None
regularMarketPreviousClose,166.04
fiftyDayAverage,161.37589
trailingAnnualDividendRate,3.98
open,165.02
toCurrency,None
averageVolume10days,7252200
expireDate,None
yield,None
algorithm,None
dividendRate,4.04
exDividendDate,1613952000
beta,0.711267
circulatingSupply,None
startDate,None
regularMarketDayLow,164.23
priceHint,2
currency,USD
trailingPE,29.947367
regularMarketVolume,6784415
lastMarket,None
maxSupply,None
openInterest,None
marketCap,434423431168
volumeAllCurrencies,None
strikePrice,None
averageVolume,8275888
priceToSalesTrailing12Months,5.260382
dayLow,164.23
ask,165.01
ytdReturn,None
askSize,800
volume,6784415
fiftyTwoWeekHigh,173.65
forwardPE,16.067184
fromCurrency,None
fiveYearAvgDividendYield,2.62
fiftyTwoWeekLow,125.5
bid,165.03
tradeable,False
dividendYield,0.024300002
bidSize,1200
dayHigh,165.66
exchange,NYQ
shortName,Johnson & Johnson
longName,Johnson & Johnson
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
isEsgPopulated,False
gmtOffSetMilliseconds,-14400000
quoteType,EQUITY
symbol,JNJ
messageBoardId,finmb_139677
market,us_market
annualHoldingsTurnover,None
enterpriseToRevenue,5.418
beta3Year,None
profitMargins,0.17817
enterpriseToEbitda,16.422
52WeekChange,0.2890303
morningStarRiskRating,None
forwardEps,10.27
revenueQuarterlyGrowth,None
sharesOutstanding,2632709888
fundInceptionDate,None
annualReportExpenseRatio,None
bookValue,24.037
sharesShort,17037745
sharesPercentSharesOut,0.0064999997
fundFamily,None
lastFiscalYearEnd,1609632000
heldPercentInstitutions,0.69827
netIncomeToCommon,14714000384
trailingEps,5.51
lastDividendValue,1.01
SandP52WeekChange,0.6074034
priceToBook,6.864833
heldPercentInsiders,0.00082
nextFiscalYearEnd,1672704000
mostRecentQuarter,1609632000
shortRatio,2.16
sharesShortPreviousMonthDate,1613088000
floatShares,2625788276
enterpriseValue,447406997504
threeYearAverageReturn,None
lastSplitDate,992390400
lastSplitFactor,2:1
legalType,None
lastDividendDate,1613952000
morningStarOverallRating,None
earningsQuarterlyGrowth,-0.567
dateShortInterest,1615766400
pegRatio,3.01
lastCapGain,None
shortPercentOfFloat,0.0064999997
sharesShortPriorMonth,15260613
impliedSharesOutstanding,None
category,None
fiveYearAverageReturn,None
regularMarketPrice,165.01
logo_url,https://logo.clearbit.com/jnj.com
