zip,10001
sector,Consumer Cyclical
longBusinessSummary,Macy's, Inc., an omnichannel retail organization, operates stores, websites, and mobile applications under the Macy's, Bloomingdale's, and bluemercury brands. It sells a range of merchandise, including apparel and accessories for men, women, and kids; cosmetics; home furnishings; and other consumer goods. As of February 1, 2020, the company operated 775 store locations in 43 states, the District of Columbia, Puerto Rico, and Guam. It also operates in Dubai, the United Arab Emirates and Al Zahra, Kuwait under the license agreements. The company was formerly known as Federated Department Stores, Inc. and changed its name to Macy's, Inc. in 2007. Macy's, Inc. was founded in 1830 and is based in New York, New York.
city,New York
phone,212-494-1602
state,NY
country,United States
companyOfficers,[]
website,http://www.macysinc.com
maxAge,1
address1,151 West 34th Street
industry,Department Stores
previousClose,15.87
regularMarketOpen,15.99
twoHundredDayAverage,11.243382
trailingAnnualDividendYield,0.023818525
payoutRatio,None
volume24Hr,None
regularMarketDayHigh,16.6
navPrice,None
averageDailyVolume10Day,21179866
totalAssets,None
regularMarketPreviousClose,15.87
fiftyDayAverage,16.354118
trailingAnnualDividendRate,0.378
open,15.99
toCurrency,None
averageVolume10days,21179866
expireDate,None
yield,None
algorithm,None
dividendRate,None
exDividendDate,1583971200
beta,2.1078
circulatingSupply,None
startDate,None
regularMarketDayLow,15.74
priceHint,2
currency,USD
regularMarketVolume,13560075
lastMarket,None
maxSupply,None
openInterest,None
marketCap,5144620544
volumeAllCurrencies,None
strikePrice,None
averageVolume,23354513
priceToSalesTrailing12Months,0.2842803
dayLow,15.74
ask,16.55
ytdReturn,None
askSize,1800
volume,13560075
fiftyTwoWeekHigh,22.3
forwardPE,16.737373
fromCurrency,None
fiveYearAvgDividendYield,7.86
fiftyTwoWeekLow,4.38
bid,16.51
tradeable,False
dividendYield,None
bidSize,1300
dayHigh,16.6
exchange,NYQ
shortName,Macy's Inc
longName,Macy's, Inc.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
isEsgPopulated,False
gmtOffSetMilliseconds,-14400000
quoteType,EQUITY
symbol,M
messageBoardId,finmb_318091
market,us_market
annualHoldingsTurnover,None
enterpriseToRevenue,0.624
beta3Year,None
profitMargins,-0.21794
enterpriseToEbitda,198.116
52WeekChange,2.5823927
morningStarRiskRating,None
forwardEps,0.99
revenueQuarterlyGrowth,None
sharesOutstanding,310478016
fundInceptionDate,None
annualReportExpenseRatio,None
bookValue,8.222
sharesShort,43531244
sharesPercentSharesOut,0.1402
fundFamily,None
lastFiscalYearEnd,1611964800
heldPercentInstitutions,0.90223
netIncomeToCommon,-3944000000
trailingEps,-12.68
lastDividendValue,0.378
SandP52WeekChange,0.6074034
priceToBook,2.0153246
heldPercentInsiders,0.00119
nextFiscalYearEnd,1675036800
mostRecentQuarter,1611964800
shortRatio,2.13
sharesShortPreviousMonthDate,1613088000
floatShares,310087035
enterpriseValue,11292635136
threeYearAverageReturn,None
lastSplitDate,1150070400
lastSplitFactor,2:1
legalType,None
lastDividendDate,1583971200
morningStarOverallRating,None
earningsQuarterlyGrowth,-0.529
dateShortInterest,1615766400
pegRatio,-2.3
lastCapGain,None
shortPercentOfFloat,0.158
sharesShortPriorMonth,43450273
impliedSharesOutstanding,None
category,None
fiveYearAverageReturn,None
regularMarketPrice,16.57
logo_url,https://logo.clearbit.com/macysinc.com
