zip,98052-6399
sector,Technology
fullTimeEmployees,163000
longBusinessSummary,Microsoft Corporation develops, licenses, and supports software, services, devices, and solutions worldwide. Its Productivity and Business Processes segment offers Office, Exchange, SharePoint, Microsoft Teams, Office 365 Security and Compliance, and Skype for Business, as well as related Client Access Licenses (CAL); Skype, Outlook.com, OneDrive, and LinkedIn; and Dynamics 365, a set of cloud-based and on-premises business solutions for small and medium businesses, large organizations, and divisions of enterprises. Its Intelligent Cloud segment licenses SQL and Windows Servers, Visual Studio, System Center, and related CALs; GitHub that provides a collaboration platform and code hosting service for developers; and Azure, a cloud platform. It also offers support services and Microsoft consulting services to assist customers in developing, deploying, and managing Microsoft server and desktop solutions; and training and certification to developers and IT professionals on various Microsoft products. Its More Personal Computing segment provides Windows original equipment manufacturer (OEM) licensing and other non-volume licensing of the Windows operating system; Windows Commercial, such as volume licensing of the Windows operating system, Windows cloud services, and other Windows commercial offerings; patent licensing; Windows Internet of Things; and MSN advertising. It also offers Surface, PC accessories, PCs, tablets, gaming and entertainment consoles, and other devices; Gaming, including Xbox hardware, and Xbox content and services; video games and third-party video game royalties; and Search, including Bing and Microsoft advertising. It sells its products through OEMs, distributors, and resellers; and directly through digital marketplaces, online stores, and retail stores. It has a strategic collaboration with DXC Technology and Dynatrace, Inc. The company was founded in 1975 and is headquartered in Redmond, Washington.
city,Redmond
phone,425-882-8080
state,WA
country,United States
companyOfficers,[]
website,http://www.microsoft.com
maxAge,1
address1,One Microsoft Way
industry,Software—Infrastructure
previousClose,235.24
regularMarketOpen,233.525
twoHundredDayAverage,221.45868
trailingAnnualDividendYield,0.009097093
payoutRatio,0.31149998
volume24Hr,None
regularMarketDayHigh,233.85
navPrice,None
averageDailyVolume10Day,28689000
totalAssets,None
regularMarketPreviousClose,235.24
fiftyDayAverage,235.86235
trailingAnnualDividendRate,2.14
open,233.525
toCurrency,None
averageVolume10days,28689000
expireDate,None
yield,None
algorithm,None
dividendRate,2.24
exDividendDate,1621382400
beta,0.812567
circulatingSupply,None
startDate,None
regularMarketDayLow,231.1
priceHint,2
currency,USD
trailingPE,34.568363
regularMarketVolume,23153082
lastMarket,None
maxSupply,None
openInterest,None
marketCap,1748663664640
volumeAllCurrencies,None
strikePrice,None
averageVolume,30260658
priceToSalesTrailing12Months,11.407998
dayLow,231.1
ask,231.88
ytdReturn,None
askSize,2200
volume,23153082
fiftyTwoWeekHigh,246.13
forwardPE,28.694307
fromCurrency,None
fiveYearAvgDividendYield,1.68
fiftyTwoWeekLow,150.36
bid,231.84
tradeable,False
dividendYield,0.0095
bidSize,800
dayHigh,233.85
exchange,NMS
shortName,Microsoft Corporation
longName,Microsoft Corporation
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
isEsgPopulated,False
gmtOffSetMilliseconds,-14400000
quoteType,EQUITY
symbol,MSFT
messageBoardId,finmb_21835
market,us_market
annualHoldingsTurnover,None
enterpriseToRevenue,11.254
beta3Year,None
profitMargins,0.33473998
enterpriseToEbitda,24.063
52WeekChange,0.54651237
morningStarRiskRating,None
forwardEps,8.08
revenueQuarterlyGrowth,None
sharesOutstanding,7560500224
fundInceptionDate,None
annualReportExpenseRatio,None
bookValue,17.259
sharesShort,49574419
sharesPercentSharesOut,0.0066000004
fundFamily,None
lastFiscalYearEnd,1593475200
heldPercentInstitutions,0.72192
netIncomeToCommon,51309998080
trailingEps,6.707
lastDividendValue,0.56
SandP52WeekChange,0.6074034
priceToBook,13.433571
heldPercentInsiders,0.00071999995
nextFiscalYearEnd,1656547200
mostRecentQuarter,1609372800
shortRatio,1.63
sharesShortPreviousMonthDate,1613088000
floatShares,7431118929
enterpriseValue,1725023780864
threeYearAverageReturn,None
lastSplitDate,1045526400
lastSplitFactor,2:1
legalType,None
lastDividendDate,1613520000
morningStarOverallRating,None
earningsQuarterlyGrowth,0.327
dateShortInterest,1615766400
pegRatio,1.87
lastCapGain,None
shortPercentOfFloat,0.0066000004
sharesShortPriorMonth,40597300
impliedSharesOutstanding,None
category,None
fiveYearAverageReturn,None
regularMarketPrice,231.85
logo_url,https://logo.clearbit.com/microsoft.com
