Date,Close/Last,Volume,Open,High,Low,sbux
4/22/2021,$115.92 ,5745110,$116.87 ,$116.88 ,$115.23 ,
4/21/2021,$116.74 ,4397440,$116.09 ,$117.26 ,$115.86 ,
4/20/2021,$116.27 ,5662376,$116.96 ,$117.26 ,$115.35 ,
4/19/2021,$117.60 ,4889684,$118.17 ,$118.98 ,$117.04 ,
4/16/2021,$118.34 ,5777860,$117.82 ,$118.50 ,$116.94 ,
4/15/2021,$116.66 ,5079094,$115.10 ,$116.89 ,$114.78 ,
4/14/2021,$115.16 ,3994551,$115.22 ,$116.24 ,$114.72 ,
4/13/2021,$115.36 ,4607384,$113.78 ,$115.60 ,$113.68 ,
4/12/2021,$113.81 ,4707805,$113.02 ,$113.89 ,$112.77 ,
4/9/2021,$113.18 ,4114258,$112.91 ,$113.27 ,$111.97 ,
4/8/2021,$113.04 ,5011290,$113.65 ,$113.96 ,$112.68 ,
4/7/2021,$113.19 ,5629622,$112.91 ,$113.76 ,$112.65 ,
4/6/2021,$113.15 ,6745242,$111.38 ,$113.82 ,$111.10 ,
4/5/2021,$111.02 ,6913105,$109.91 ,$111.35 ,$109.87 ,
4/1/2021,$109.38 ,5792950,$110.06 ,$110.06 ,$108.20 ,
3/31/2021,$109.27 ,6478401,$110.33 ,$111.62 ,$109.19 ,
3/30/2021,$110.27 ,4552862,$108.42 ,$110.45 ,$108.28 ,
3/29/2021,$109.13 ,5167195,$109.01 ,$110.25 ,$106.59 ,
3/26/2021,$109.90 ,6167570,$107.25 ,$110 ,$107.18 ,
3/25/2021,$107.35 ,8149044,$105.01 ,$107.70 ,$104.06 ,
3/24/2021,$104.97 ,5731334,$106.63 ,$107.28 ,$104.94 ,
3/23/2021,$106.25 ,5657840,$107.74 ,$107.95 ,$105.67 ,
3/22/2021,$107.57 ,7605084,$106.40 ,$108.42 ,$106 ,
3/19/2021,$106.34 ,21452020,$108.35 ,$108.85 ,$105.83 ,
3/18/2021,$107.62 ,7813431,$109.28 ,$110.27 ,$107.50 ,
3/17/2021,$110.46 ,10128450,$111.31 ,$111.46 ,$108.93 ,
3/16/2021,$111.34 ,11376180,$110.57 ,$112.34 ,$109.89 ,
3/15/2021,$108.90 ,7111401,$107.89 ,$108.95 ,$107.06 ,
3/12/2021,$107.81 ,3356023,$107.42 ,$107.99 ,$106.58 ,
3/11/2021,$107.32 ,4670732,$108.41 ,$108.57 ,$107.26 ,
3/10/2021,$107.78 ,6076974,$107.22 ,$109.07 ,$106.96 ,
3/9/2021,$106.55 ,5510948,$106.28 ,$107.97 ,$105.83 ,
3/8/2021,$105.03 ,5119532,$104.80 ,$106.89 ,$104.23 ,
3/5/2021,$105.20 ,5559905,$106.06 ,$106.06 ,$102.75 ,
3/4/2021,$104.89 ,7211833,$106.26 ,$107.17 ,$103.85 ,
3/3/2021,$106.22 ,5313426,$106.94 ,$107.96 ,$106.12 ,
3/2/2021,$107.20 ,5016782,$107.31 ,$108.25 ,$105.82 ,
3/1/2021,$106.87 ,7931631,$108.60 ,$110.47 ,$106.54 ,
2/26/2021,$108.03 ,15122850,$104.15 ,$109.48 ,$103.68 ,
2/25/2021,$103.47 ,7534020,$104 ,$105.77 ,$103.11 ,
2/24/2021,$104.38 ,7542690,$101.16 ,$104.51 ,$100.60 ,
2/23/2021,$101.37 ,8740260,$103.34 ,$103.34 ,$99.93 ,
2/22/2021,$101.81 ,5211754,$102.99 ,$102.99 ,$101.75 ,
2/19/2021,$103.37 ,4129146,$104.75 ,$105.28 ,$103.22 ,
2/18/2021,$104.97 ,4098865,$103.78 ,$105.34 ,$103.41 ,
2/17/2021,$104.44 ,5735722,$105.11 ,$105.46 ,$104.15 ,
2/16/2021,$106.15 ,4928053,$104.88 ,$106.59 ,$104.70 ,
2/12/2021,$105.30 ,3169814,$105.74 ,$105.94 ,$104.72 ,
2/11/2021,$105.86 ,2976042,$106.12 ,$106.23 ,$105.03 ,
2/10/2021,$105.87 ,4293184,$106.78 ,$106.90 ,$104.93 ,
2/9/2021,$106.22 ,4095226,$106 ,$106.83 ,$105.22 ,
2/8/2021,$106.26 ,4836631,$106.42 ,$106.53 ,$105.34 ,
2/5/2021,$106.48 ,8072094,$105.09 ,$107.54 ,$104.78 ,
2/4/2021,$103.64 ,6926764,$101.36 ,$104.24 ,$101.11 ,
2/3/2021,$101.02 ,3934770,$101.25 ,$102.65 ,$100.81 ,
2/2/2021,$101.65 ,6917661,$99.05 ,$102.48 ,$98.78 ,
2/1/2021,$98.58 ,7206259,$96.99 ,$99.62 ,$96.92 ,
1/29/2021,$96.81 ,8203032,$97.39 ,$97.79 ,$95.92 ,
1/28/2021,$98.15 ,8868207,$98.94 ,$100.53 ,$98.10 ,
1/27/2021,$97.87 ,18139470,$101.48 ,$101.78 ,$96.73 ,
1/26/2021,$104.69 ,7195251,$103.40 ,$105.21 ,$103.24 ,
1/25/2021,$103.45 ,5008991,$103.75 ,$103.95 ,$102.17 ,
1/22/2021,$103.91 ,5231584,$104.16 ,$104.47 ,$103.06 ,
1/21/2021,$104.58 ,5732873,$105.46 ,$105.49 ,$104.45 ,
1/20/2021,$105.46 ,5844257,$102.41 ,$105.85 ,$102.20 ,
1/19/2021,$102.54 ,6519615,$102.80 ,$103.60 ,$101.34 ,
1/15/2021,$102.33 ,5523156,$101.38 ,$102.69 ,$101.21 ,
1/14/2021,$101.82 ,4528313,$103.80 ,$104.19 ,$101.71 ,
1/13/2021,$102.89 ,4804483,$102.32 ,$103.38 ,$101.49 ,
1/12/2021,$102.82 ,4332575,$104.01 ,$104.32 ,$102.31 ,
1/11/2021,$104.60 ,4258027,$105.10 ,$105.64 ,$104.27 ,
1/8/2021,$105.67 ,5869677,$103.86 ,$105.76 ,$103.42 ,
1/7/2021,$103.35 ,5057016,$104.49 ,$104.64 ,$102.95 ,
1/6/2021,$104.19 ,5017464,$102.99 ,$105.21 ,$102.91 ,
1/5/2021,$103.44 ,5721905,$102.92 ,$104.26 ,$102.80 ,
1/4/2021,$103.10 ,8041533,$107.66 ,$107.75 ,$102.14 ,
12/31/2020,$106.98 ,3566295,$106 ,$107.14 ,$105.62 ,
12/30/2020,$105.97 ,3654380,$105.99 ,$106.62 ,$105.78 ,
12/29/2020,$105.63 ,4780921,$104.89 ,$105.78 ,$104.47 ,
12/28/2020,$104.34 ,5055179,$102.92 ,$104.38 ,$102.31 ,
12/24/2020,$102.01 ,1949183,$102.30 ,$102.36 ,$101.68 ,
12/23/2020,$102.06 ,3817267,$102.29 ,$102.69 ,$101.97 ,
12/22/2020,$102.41 ,4305282,$102.12 ,$103.17 ,$101.89 ,
12/21/2020,$102.94 ,7175930,$101.22 ,$103.15 ,$100.02 ,
12/18/2020,$103.28 ,10214980,$103.33 ,$104.11 ,$102.95 ,
12/17/2020,$103.21 ,4535689,$103.55 ,$104.04 ,$102.61 ,
12/16/2020,$103.27 ,6409253,$104.10 ,$104.80 ,$102.72 ,
12/15/2020,$104.18 ,5196689,$104.24 ,$104.86 ,$103.78 ,
12/14/2020,$103.32 ,5156155,$103.83 ,$104.71 ,$103.25 ,
12/11/2020,$103 ,6262636,$104.41 ,$104.78 ,$102.33 ,
12/10/2020,$105.39 ,12939180,$103.51 ,$106.09 ,$102.75 ,
12/9/2020,$100.40 ,6629890,$101.94 ,$102.21 ,$100.10 ,
12/8/2020,$101.21 ,3911250,$100.37 ,$101.57 ,$100.01 ,
12/7/2020,$101.41 ,4514754,$102.01 ,$102.22 ,$100.69 ,
12/4/2020,$102.28 ,6952704,$101.35 ,$102.94 ,$101.07 ,
12/3/2020,$100.11 ,6264077,$99.02 ,$101 ,$98.97 ,
12/2/2020,$98.91 ,3377940,$98.51 ,$99.04 ,$98.21 ,
12/1/2020,$98.82 ,4970293,$99 ,$99.26 ,$98.25 ,
11/30/2020,$98.02 ,5197253,$98.20 ,$98.29 ,$96.96 ,
