zip,75039-2298
sector,Energy
fullTimeEmployees,72000
longBusinessSummary,Exxon Mobil Corporation explores for and produces crude oil and natural gas in the United States and internationally. It operates through Upstream, Downstream, and Chemical segments. The company is also involved in the manufacture, trade, transport, and sale of crude oil, natural gas, petroleum products, petrochemicals, and other specialty products; and manufactures and sells petrochemicals, including olefins, polyolefins, aromatics, and various other petrochemicals. As of December 31, 2020, it had approximately 22,239 net operated wells with proved reserves. The company was founded in 1870 and is based in Irving, Texas.
city,Irving
phone,972-940-6000
state,TX
country,United States
companyOfficers,[]
website,http://corporate.exxonmobil.com
maxAge,1
address1,5959 Las Colinas Boulevard
fax,972-940-6143
industry,Oil & Gas Integrated
previousClose,57.4
regularMarketOpen,56.86
twoHundredDayAverage,43.751175
trailingAnnualDividendYield,0.060627177
payoutRatio,None
volume24Hr,None
regularMarketDayHigh,57.36
navPrice,None
averageDailyVolume10Day,29901150
totalAssets,None
regularMarketPreviousClose,57.4
fiftyDayAverage,56.26412
trailingAnnualDividendRate,3.48
open,56.86
toCurrency,None
averageVolume10days,29901150
expireDate,None
yield,None
algorithm,None
dividendRate,3.48
exDividendDate,1612828800
beta,1.402491
circulatingSupply,None
startDate,None
regularMarketDayLow,56.49
priceHint,2
currency,USD
regularMarketVolume,18282072
lastMarket,None
maxSupply,None
openInterest,None
marketCap,239998255104
volumeAllCurrencies,None
strikePrice,None
averageVolume,31780206
priceToSalesTrailing12Months,1.3349255
dayLow,56.49
ask,56.74
ytdReturn,None
askSize,3100
volume,18282072
fiftyTwoWeekHigh,62.55
forwardPE,14.957784
fromCurrency,None
fiveYearAvgDividendYield,4.91
fiftyTwoWeekLow,31.11
bid,56.64
tradeable,False
dividendYield,0.060599998
bidSize,2200
dayHigh,57.36
exchange,NYQ
shortName,Exxon Mobil Corporation
longName,Exxon Mobil Corporation
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
isEsgPopulated,False
gmtOffSetMilliseconds,-14400000
quoteType,EQUITY
symbol,XOM
messageBoardId,finmb_406338
market,us_market
annualHoldingsTurnover,None
enterpriseToRevenue,1.772
beta3Year,None
profitMargins,-0.12482
enterpriseToEbitda,34.409
52WeekChange,0.52944314
morningStarRiskRating,None
forwardEps,3.79
revenueQuarterlyGrowth,None
sharesOutstanding,4233520128
fundInceptionDate,None
annualReportExpenseRatio,None
bookValue,37.125
sharesShort,64293245
sharesPercentSharesOut,0.0152
fundFamily,None
lastFiscalYearEnd,1609372800
heldPercentInstitutions,0.52502996
netIncomeToCommon,-22439999488
trailingEps,-5.254
lastDividendValue,0.87
SandP52WeekChange,0.6074034
priceToBook,1.5270033
heldPercentInsiders,0.00116
nextFiscalYearEnd,1672444800
mostRecentQuarter,1609372800
shortRatio,1.98
sharesShortPreviousMonthDate,1613088000
floatShares,4223407470
enterpriseValue,318558928896
threeYearAverageReturn,None
lastSplitDate,995500800
lastSplitFactor,2:1
legalType,None
lastDividendDate,1612828800
morningStarOverallRating,None
earningsQuarterlyGrowth,None
dateShortInterest,1615766400
pegRatio,1.84
lastCapGain,None
shortPercentOfFloat,0.0152
sharesShortPriorMonth,47517238
impliedSharesOutstanding,None
category,None
fiveYearAverageReturn,None
regularMarketPrice,56.69
logo_url,https://logo.clearbit.com/corporate.exxonmobil.com
