,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Investments,2593000000.0,2100000000.0,3173000000.0,4147000000.0
Change To Liabilities,-3194000000.0,-2749000000.0,11802000000.0,-190000000.0
Total Cashflows From Investing Activities,-1669000000.0,-5371000000.0,-4462000000.0,51000000.0
Net Borrowings,-3250000000.0,-3250000000.0,-3250000000.0,-3000000000.0
Total Cash From Financing Activities,-13634000000.0,-10289000000.0,-12262000000.0,-14645000000.0
Change To Operating Activities,1879000000.0,-2823000000.0,643000000.0,803000000.0
Issuance Of Stock,302000000.0,545000000.0,340000000.0,342000000.0
Net Income,15463000000.0,13893000000.0,11202000000.0,10752000000.0
Change In Cash,-2773000000.0,3629000000.0,1866000000.0,2846000000.0
Repurchase Of Stock,-6535000000.0,-6743000000.0,-5791000000.0,-7059000000.0
Effect Of Exchange Rate,14000000.0,-46000000.0,-83000000.0,-64000000.0
Total Cash From Operating Activities,12516000000.0,19335000000.0,18673000000.0,17504000000.0
Depreciation,2761000000.0,2645000000.0,3008000000.0,3118000000.0
Other Cashflows From Investing Activities,327000000.0,-2083000000.0,-1241000000.0,-1241000000.0
Dividends Paid,-4230000000.0,-3856000000.0,-3865000000.0,-3876000000.0
Change To Inventory,788000000.0,-808000000.0,-251000000.0,181000000.0
Change To Account Receivables,-4008000000.0,8843000000.0,-9355000000.0,891000000.0
Other Cashflows From Financing Activities,79000000.0,-235000000.0,-2946000000.0,-1052000000.0
Change To Netincome,1195000000.0,1317000000.0,2213000000.0,1184000000.0
Capital Expenditures,-4174000000.0,-4907000000.0,-4744000000.0,-3767000000.0
