,Holder,Shares,Date Reported,% Out,Value
0,"Vanguard Group, Inc. (The)",614100233,2020-12-30,0.0814,136588173823
1,Blackrock Inc.,515509179,2020-12-30,0.0683,114659551593
2,State Street Corporation,299126371,2020-12-30,0.0397,66531687437
3,"FMR, LLC",222257473,2020-12-30,0.029500000000000002,49434507144
4,Price (T.Rowe) Associates Inc,177500157,2020-12-30,0.0235,39479584919
5,"Geode Capital Management, LLC",117798162,2020-12-30,0.015600000000000001,26200667192
6,Capital World Investors,110441260,2020-12-30,0.0146,24564345049
7,Capital Research Global Investors,95506129,2020-12-30,0.0127,21242473212
8,Capital International Investors,91995988,2020-12-30,0.012199999999999999,20461747650
9,Northern Trust Corporation,91215100,2020-12-30,0.0121,20288062542
